PLAYER,TEAM,AGE,GP,W,L,MP,MIN,PTS,T.PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,T.REB,AST,T.AST,TOV,T.TOV,STL,T.STL,BLK,T.BLK,PF,T.PF,FP,DD2,TD3,+/-,Play2019,Play2020
Nico Mannion,GSW,19,6,3,3,6,36,1.5,9,3,13,23.1,2,9,22.2,1,4,25,0,8,1.333333333,8,2,12,0.333333333,2,0.333333333,2,0,0,0.833333333,5,40.6,0,0,14,0,0
Luke Kornet,CHI,25,5,3,2,7.4,37,1.8,9,3,13,23.1,1,10,10,2,2,100,0,8,1.6,8,0.2,1,0.2,1,0.2,1,0,0,0.2,1,22.1,0,0,-7,0,0
Jarrell Brantley,UTA,24,7,6,1,2.857142857,20,1.285714286,9,3,7,42.9,3,5,60,0,0,0,1,3,0.571428571,4,0,0,0.142857143,1,0.142857143,1,0.142857143,1,0.571428571,4,18.8,0,0,-8,0,0
Cassius Stanley,IND,21,8,5,3,2.875,23,1.125,9,2,7,28.6,1,2,50,4,5,80,2,1,0.375,3,0,0,0.125,1,0,0,0.25,2,0.875,7,17.6,0,0,-2,0,0
Nate Hinton,DAL,21,6,1,5,3.166666667,19,1.333333333,8,3,13,23.1,1,5,20,1,2,50,0,0,0,0,0,0,0.333333333,2,0.166666667,1,0.166666667,1,0.166666667,1,12,0,0,-22,0,0
Marques Bolden,CLE,22,6,2,4,4.833333333,29,1.166666667,7,1,3,33.3,0,0,0,5,8,62.5,3,3,1,6,0,0,0.333333333,2,0.333333333,2,0.333333333,2,0,0,24.2,0,0,5,0,0
Luka Samanic,SAS,21,4,2,2,2.75,11,1.75,7,2,6,33.3,2,3,66.7,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
Karim Mane,ORL,20,6,2,4,9.333333333,56,1.166666667,7,1,9,11.1,1,2,50,4,4,100,0,10,1.666666667,10,0.166666667,1,0.5,3,0,0,0.166666667,1,0.5,3,20.5,0,0,-21,0,0
Vlatko Cancar,DEN,23,12,8,4,3.25,39,0.5,6,2,12,16.7,1,7,14.3,1,2,50,3,7,0.833333333,10,0,0,0.25,3,0.25,3,0.166666667,2,0.25,3,30,0,0,-49,0,0
Tyler Bey,DAL,23,4,1,3,3.25,13,1.5,6,2,5,40,0,0,0,2,4,50,2,1,0.75,3,0,0,0,0,0,0,0.25,1,0.5,2,12.6,0,0,-18,0,0
